basin,n_points,median,mad,skew,kurtosis,shapiro_W,shapiro_p,AD_stat,rho_fault,p_fault,n_outliers,pct_outliers,best_k,delta_bic,AD15,AD10,AD5,AD2.5,AD1,cluster1_mean,cluster1_var,cluster2_mean,cluster2_var,cluster3_mean,cluster3_var,n,hi,R2,R2_robust,BP_p,MoranI_resid,coef_elevation,coef_dist_fault_km,coef_hi,coef_cl_2,coef_cl_3,VIF_elevation,VIF_dist_fault_km,VIF_hi,VIF_cl_2,VIF_cl_3
global,1164.0,0.9362093210220335,0.7459678173589916,-0.28098415845704505,2.062017668336342,0.9197121431538581,2.1692866579073847e-24,22.31366260329264,0.09851841145829272,0.0007632870014988431,6.0,0.5154639175257731,3.0,4.626803411203127,0.574,0.654,0.784,0.915,1.088,-1.2371494363299431,1.6896430838982595,-0.4402224976576061,0.42673432766315467,0.5794347630358343,0.21134207352603926,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,1164.0,0.3053382737981961,0.7534697766034695,0.7534697766034695,5.110180874982721e-14,0.2186462811195716,8.997213977535524e-05,478.4269085653454,-5.02939553419861,1.3764094681780468,2.5801777783663136,1.0755709396772706,1.077642387375071,41.45367331137263,2.9219609487481475,2.9384325303789502
