basin,n_points,median,mad,skew,kurtosis,shapiro_W,shapiro_p,AD_stat,rho_fault,p_fault,n_outliers,pct_outliers,best_k,delta_bic,AD15,AD10,AD5,AD2.5,AD1,cluster1_mean,cluster1_var,cluster2_mean,cluster2_var,n,hi,R2,R2_robust,BP_p,MoranI_resid,coef_elevation,coef_dist_fault_km,coef_hi,coef_cl_2,VIF_elevation,VIF_dist_fault_km,VIF_hi,VIF_cl_2
global,2103.0,-0.103307895362377,1.2631586953371414,-0.04585696549266283,1.993987615949342,0.9840952003597313,1.4623304167346845e-14,5.806910986440016,-0.30441796033125873,2.4404775815021015e-46,3.0,0.14265335235378032,2.0,46.3030899464984,0.575,0.655,0.786,0.916,1.09,-0.3757789933911099,1.4657017644502286,0.24299360104235615,0.5485026344210492,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,2103.0,0.4478589215406944,0.4499921713470266,0.4499921713470266,1.4259099967047971e-47,0.47986750489454305,-0.0006918777467624936,-2221.350349018435,1.9178551102117165,1.7339440508313824,1.0092677514952038,1.1273374193782584,36.871802601228495,1.136968749966518
