basin,n_points,median,mad,skew,kurtosis,shapiro_W,shapiro_p,AD_stat,rho_fault,p_fault,n_outliers,pct_outliers,best_k,delta_bic,AD15,AD10,AD5,AD2.5,AD1,cluster1_mean,cluster1_var,cluster2_mean,cluster2_var,n,hi,R2,R2_robust,BP_p,MoranI_resid,coef_elevation,coef_dist_fault_km,coef_hi,coef_cl_2,VIF_elevation,VIF_dist_fault_km,VIF_hi,VIF_cl_2
global,864.0,0.9836319386959076,0.8803753955482274,-0.11360686293438216,2.3678213505348467,0.8838659979723924,6.442644842657253e-25,26.307456294011672,-0.0226380730391139,0.5063431250915768,15.0,1.7361111111111112,2.0,13.662769237938846,0.573,0.653,0.783,0.914,1.087,-0.7207344523074947,2.7475681707809594,0.22372499920698924,0.24623507669063566,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,864.0,0.4236930950721433,0.2982781518074099,0.2982781518074099,5.368483099231012e-26,0.12592898225753815,-0.0008365201944675266,998.2973158479766,2.022078316864001,1.6436141796833637,1.5623229186065382,1.2455830461940114,63.48584757125758,1.287252485522003
