basin,n_points,median,mad,skew,kurtosis,shapiro_W,shapiro_p,AD_stat,rho_fault,p_fault,n_outliers,pct_outliers,best_k,delta_bic,AD15,AD10,AD5,AD2.5,AD1,cluster1_mean,cluster1_var,cluster2_mean,cluster2_var,cluster3_mean,cluster3_var,cluster4_mean,cluster4_var,n,hi,R2,R2_robust,BP_p,MoranI_resid,coef_elevation,coef_dist_fault_km,coef_hi,coef_cl_2,coef_cl_3,coef_cl_4,VIF_elevation,VIF_dist_fault_km,VIF_hi,VIF_cl_2,VIF_cl_3,VIF_cl_4
global,3782.0,-0.24563197046518298,1.3303493614899415,-0.007899991844196617,1.8360190118582602,0.8786446615096575,1.8757789732537357e-47,65.89261120947685,-0.16999122657374008,6.461846296677951e-26,25.0,0.6610259122157589,4.0,8.969036923106614,0.575,0.655,0.786,0.917,1.091,-0.9111288079111717,0.41484217419298963,-0.37861394995849823,6.422352144996644,-0.17964016876735017,0.18948687361998676,0.5894436316030726,0.1539298296503092,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3782.0,0.32205363409506904,0.41449962857034695,0.41449962857034695,4.099029931152954e-254,0.3402646713616706,-0.0002171106942068089,-1210.7665188830479,-6.402780670176696,1.511040504246251,1.835101371995575,3.4156644652198134,1.14793010149001,1.2024804289432052,23.040543496222643,1.4341759746617915,3.35240067782981,3.2813507851084136
