,0
n,542.0
pear_r,0.05730076914480445
pear_p,0.1828510408985788
spear_r,0.0010912437072045577
spear_p,0.9797785980844401
ccc,0.032484388167267654
slope,0.07162190069178805
intercept,-0.14130395685495337
bias,1.5171363197836158
mae,1.8445993586371194
rmse,2.3044034908433653
std,1.73612613844383
lo,-1.885670911566291
hi,4.919943551133523
cov95,0.8062730627306273
sw_W,0.9739059657343027
sw_p,3.046324941276772e-08
lev_stat,1.7766548060620324
lev_p,0.15054164995877972
cv_bias_mean,1.5172097557890234
cv_bias_std,0.15054196520464286
cv_rms_mean,2.2957359067943903
cv_rms_std,0.20507702007592246
ci_bias_lo,1.3690902171170312
ci_bias_hi,1.6614875803988398
ci_mae_lo,1.7327053993732646
ci_mae_hi,1.96325637012922
ci_rmse_lo,2.137091453355169
ci_rmse_hi,2.495402861489283
