basin,n_points,median,mad,skew,kurtosis,shapiro_W,shapiro_p,AD_stat,rho_fault,p_fault,n_outliers,pct_outliers,best_k,delta_bic,AD15,AD10,AD5,AD2.5,AD1,cluster1_mean,cluster1_var,cluster2_mean,cluster2_var,n,hi,R2,R2_robust,BP_p,MoranI_resid,coef_elevation,coef_dist_fault_km,coef_hi,coef_cl_2,VIF_elevation,VIF_dist_fault_km,VIF_hi,VIF_cl_2
global,1293.0,-0.116105832159519,1.2315792858276644,-0.11560235295905054,2.0494438861625928,0.9041932220011604,1.0222667512740151e-27,18.288312643977406,0.014889895906455203,0.5927001337614285,6.0,0.46403712296983757,2.0,4.820799584847464,0.574,0.654,0.785,0.915,1.089,-0.4622016781034801,2.4472524767645574,0.16993467492600833,0.36047760780769267,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,1293.0,0.4299943570391183,0.21242565045998452,0.21242565045998452,6.873263574173007e-21,0.3127787870829676,-0.00030692794613345416,898.5144140343032,-2.8322920114753365,1.9309169146755316,1.1094963692334956,1.0255813159721672,43.34790367870032,1.1246835453020931
