window_km,effect_threshold_mm_yr,distance_tolerance_m,n_total_crossings,n_analyzed,n_raw_p_lt_0_05,n_fdr_sig,n_truly_sig,median_abs_effect_mm_yr,background_r2,residual_std_mm_yr
0.5,0.3,250,7,3,1,0,0,0.17677917378023275,0.29306558817920614,1.2572202382655644
0.5,0.3,500,7,3,1,0,0,0.17677917378023275,0.29306558817920614,1.2572202382655644
0.5,0.3,1000,7,3,1,0,0,0.17677917378023275,0.29306558817920614,1.2572202382655644
0.5,0.5,250,7,3,1,0,0,0.17677917378023275,0.29306558817920614,1.2572202382655644
0.5,0.5,500,7,3,1,0,0,0.17677917378023275,0.29306558817920614,1.2572202382655644
0.5,0.5,1000,7,3,1,0,0,0.17677917378023275,0.29306558817920614,1.2572202382655644
0.5,0.7,250,7,3,1,0,0,0.17677917378023275,0.29306558817920614,1.2572202382655644
0.5,0.7,500,7,3,1,0,0,0.17677917378023275,0.29306558817920614,1.2572202382655644
0.5,0.7,1000,7,3,1,0,0,0.17677917378023275,0.29306558817920614,1.2572202382655644
1.0,0.3,250,7,3,1,0,0,0.13112261196455144,0.29306558817920614,1.2572202382655644
1.0,0.3,500,7,3,1,0,0,0.13112261196455144,0.29306558817920614,1.2572202382655644
1.0,0.3,1000,7,3,1,0,0,0.13112261196455144,0.29306558817920614,1.2572202382655644
1.0,0.5,250,7,3,1,0,0,0.13112261196455144,0.29306558817920614,1.2572202382655644
1.0,0.5,500,7,3,1,0,0,0.13112261196455144,0.29306558817920614,1.2572202382655644
1.0,0.5,1000,7,3,1,0,0,0.13112261196455144,0.29306558817920614,1.2572202382655644
1.0,0.7,250,7,3,1,0,0,0.13112261196455144,0.29306558817920614,1.2572202382655644
1.0,0.7,500,7,3,1,0,0,0.13112261196455144,0.29306558817920614,1.2572202382655644
1.0,0.7,1000,7,3,1,0,0,0.13112261196455144,0.29306558817920614,1.2572202382655644
2.0,0.3,250,7,3,1,0,0,0.04360167990394298,0.29306558817920614,1.2572202382655644
2.0,0.3,500,7,3,1,0,0,0.04360167990394298,0.29306558817920614,1.2572202382655644
2.0,0.3,1000,7,3,1,0,0,0.04360167990394298,0.29306558817920614,1.2572202382655644
2.0,0.5,250,7,3,1,0,0,0.04360167990394298,0.29306558817920614,1.2572202382655644
2.0,0.5,500,7,3,1,0,0,0.04360167990394298,0.29306558817920614,1.2572202382655644
2.0,0.5,1000,7,3,1,0,0,0.04360167990394298,0.29306558817920614,1.2572202382655644
2.0,0.7,250,7,3,1,0,0,0.04360167990394298,0.29306558817920614,1.2572202382655644
2.0,0.7,500,7,3,1,0,0,0.04360167990394298,0.29306558817920614,1.2572202382655644
2.0,0.7,1000,7,3,1,0,0,0.04360167990394298,0.29306558817920614,1.2572202382655644
