fault_distance_km,fault_type,raw_effect_mm_yr,p_value_raw,p_value_fdr,truly_significant,significant_fdr,window_km_used,n_faults_consolidated,drainage_class,lc_mode,lc_point_meta
0.6,Unknown,0.5198180459412363,0.36321467754485703,0.6356256857034999,False,False,1.2690553726608798,2,exorheic–inland,Urban,Urban
1.0100000000000007,Unknown,0.12862816704728175,0.8490543847719806,0.8915071040105796,False,False,1.1893591997949113,3,exorheic–inland,Urban,Urban
1.4600000000000009,Unknown,-0.9415669174667335,0.058115217061400874,0.39944859902044455,False,False,1.1506040197865792,3,exorheic–inland,Urban,Urban
10.949999999999958,Unknown,-0.5344614065526163,0.04692303625114822,0.39944859902044455,False,False,0.5602133742323026,1,exorheic–inland,Urban,Urban
11.84999999999994,Unknown,-0.24945122451477114,0.40710958448656953,0.6576385595552277,False,False,0.5,1,exorheic–inland,Urban,Urban
13.7099999999999,Unknown,-0.3604348745197057,0.19049094425159888,0.5714728327547967,False,False,0.5,1,exorheic–inland,Urban,Urban
34.26000000000054,Left Lateral,0.11444391217082717,0.7591760647130802,0.8915071040105796,False,False,0.5,2,exorheic–inland,Urban,Urban
36.60000000000063,Unknown,-0.843230407126248,0.008965146653059631,0.18826807971425227,False,False,0.5,1,exorheic–inland,Urban,Water
41.310000000000805,Normal,-0.560028553009033,0.13407186121656084,0.5322729013043187,False,False,0.5988440299703581,1,exorheic–inland,Urban,Urban
43.7700000000009,Reverse,0.3021079013419097,0.7268332045661571,0.8915071040105796,False,False,0.5480628899940991,2,exorheic–inland,Urban,Urban
44.29000000000092,Reverse,0.9274857773911211,0.07608544743246562,0.39944859902044455,False,False,0.5,3,exorheic–inland,Urban,Urban
46.320000000000995,Left Lateral,-0.10061135943979022,0.8217271301173723,0.8915071040105796,False,False,0.5,2,exorheic–inland,Urban,Urban
46.98000000000103,Reverse,0.1120063774287702,0.8314238535970987,0.8915071040105796,False,False,0.5,1,exorheic–inland,Urban,Urban
47.97000000000106,Reverse,0.468394730354731,0.2597687014139556,0.5829047045335479,False,False,0.5,1,exorheic–inland,Urban,Urban
51.51000000000119,Left Lateral,-0.21107601204839266,0.6008958422354458,0.8915071040105796,False,False,0.5,1,exorheic–inland,Urban,Urban
53.76000000000128,Reverse,-0.4080393719874944,0.26112468993515764,0.5829047045335479,False,False,0.5,1,exorheic–inland,Urban,Urban
60.36000000000153,Reverse,0.615202997624874,0.1520779718012339,0.5322729013043187,False,False,0.5,1,exorheic–inland,Urban,Forest
63.87000000000167,Reverse,0.08123538490950266,0.9082562642712114,0.9082562642712114,False,False,0.5,1,exorheic–inland,Urban,Urban
67.6200000000018,Reverse,0.556860147913297,0.33267628616198075,0.6351092735819632,False,False,0.5,2,exorheic–inland,Urban,Urban
68.55000000000183,Reverse,-0.3284745065065531,0.277573668825499,0.5829047045335479,False,False,0.5,1,exorheic–inland,Urban,Urban
71.07000000000193,Reverse,-0.098599199950695,0.7729291928547535,0.8915071040105796,False,False,0.5,1,exorheic–inland,Urban,Urban
