gnss_vel,insar_vel,error,abs_error,within95
1.33,0.510433733463287,0.819566266536713,0.819566266536713,True
1.23,-1.820892214775085,3.050892214775085,3.050892214775085,True
1.2,-1.040404319763184,2.2404043197631838,2.2404043197631838,True
1.24,-0.176791429519653,1.416791429519653,1.416791429519653,True
1.41,-0.830772817134857,2.240772817134857,2.240772817134857,True
1.56,-1.961771011352539,3.521771011352539,3.521771011352539,False
2.08,-0.22832365334034,2.30832365334034,2.30832365334034,True
3.03,-0.078942395746708,3.1089423957467077,3.1089423957467077,True
3.67,0.288278609514236,3.381721390485764,3.381721390485764,True
2.85,-1.513051271438599,4.363051271438599,4.363051271438599,False
3.44,-3.175866365432739,6.615866365432739,6.615866365432739,False
3.34,-0.305402636528015,3.645402636528015,3.645402636528015,False
3.54,-0.940275728702545,4.480275728702545,4.480275728702545,False
1.56,-1.534228444099426,3.094228444099426,3.094228444099426,True
1.64,-2.022066354751587,3.6620663547515866,3.6620663547515866,True
3.33,1.26048743724823,2.06951256275177,2.06951256275177,True
2.88,1.673933744430542,1.206066255569458,1.206066255569458,True
3.27,2.111860752105713,1.1581392478942871,1.1581392478942871,True
0.06,-0.240084111690521,0.30008411169052096,0.30008411169052096,True
1.52,-1.013995051383972,2.5339950513839717,2.5339950513839717,False
1.43,0.670117974281311,0.7598820257186889,0.7598820257186889,True
1.62,0.146814435720444,1.4731855642795562,1.4731855642795562,True
1.83,-0.221908122301102,2.051908122301102,2.051908122301102,True
1.74,0.108031995594501,1.631968004405499,1.631968004405499,True
-0.45,-0.204004049301147,-0.24599595069885302,0.24599595069885302,True
1.59,-0.008205218240619,1.598205218240619,1.598205218240619,True
1.61,-0.589780390262604,2.199780390262604,2.199780390262604,False
1.28,1.063603520393372,0.216396479606628,0.216396479606628,True
1.11,1.205374479293823,-0.09537447929382292,0.09537447929382292,True
1.25,0.600880861282349,0.649119138717651,0.649119138717651,True
1.08,0.065817564725876,1.014182435274124,1.014182435274124,True
0.89,0.402055203914642,0.487944796085358,0.487944796085358,True
1.34,-2.264221668243408,3.604221668243408,3.604221668243408,False
1.46,0.828801989555359,0.631198010444641,0.631198010444641,True
1.14,1.734034538269043,-0.5940345382690431,0.5940345382690431,True
1.34,1.455093264579773,-0.11509326457977287,0.11509326457977287,True
1.51,1.345126986503601,0.16487301349639893,0.16487301349639893,True
1.48,0.789105296134949,0.690894703865051,0.690894703865051,True
1.49,-0.271560519933701,1.761560519933701,1.761560519933701,True
1.47,0.079440526664257,1.390559473335743,1.390559473335743,True
1.45,0.6403489112854,0.8096510887146,0.8096510887146,True
1.53,0.663178563117981,0.8668214368820191,0.8668214368820191,True
0.94,0.763160645961761,0.17683935403823892,0.17683935403823892,True
2.22,0.994918406009674,1.2250815939903261,1.2250815939903261,True
1.99,0.637911021709442,1.352088978290558,1.352088978290558,True
1.84,0.500280022621155,1.339719977378845,1.339719977378845,True
1.27,0.317533493041992,0.952466506958008,0.952466506958008,True
1.06,1.680007576942444,-0.620007576942444,0.620007576942444,True
0.86,0.651943147182465,0.20805685281753494,0.20805685281753494,True
0.16,0.040354009717703,0.119645990282297,0.119645990282297,True
-0.02,-0.309289395809174,0.28928939580917395,0.28928939580917395,True
1.02,-0.417942374944687,1.437942374944687,1.437942374944687,True
1.04,-4.298729419708252,5.338729419708252,5.338729419708252,False
1.75,-1.091720700263977,2.841720700263977,2.841720700263977,False
1.79,0.862512826919556,0.927487173080444,0.927487173080444,True
1.78,0.862512826919556,0.917487173080444,0.917487173080444,True
2.39,0.923224747180939,1.466775252819061,1.466775252819061,True
2.63,1.053341746330261,1.5766582536697389,1.5766582536697389,True
2.84,1.608720064163208,1.2312799358367919,1.2312799358367919,True
2.12,0.052972123026848,2.0670278769731523,2.0670278769731523,False
3.32,0.071711592376232,3.2482884076237677,3.2482884076237677,False
2.99,1.153563976287842,1.8364360237121582,1.8364360237121582,True
3.16,0.531250476837158,2.628749523162842,2.628749523162842,False
2.84,0.502893209457397,2.337106790542603,2.337106790542603,False
2.47,0.315513581037521,2.1544864189624793,2.1544864189624793,False
1.82,-0.848849356174469,2.6688493561744693,2.6688493561744693,False
2.19,0.647822380065918,1.542177619934082,1.542177619934082,True
1.34,-1.915292620658875,3.2552926206588753,3.2552926206588753,False
1.36,-1.915292620658875,3.275292620658875,3.275292620658875,False
1.37,-1.328383922576904,2.6983839225769044,2.6983839225769044,False
1.32,-0.74651962518692,2.06651962518692,2.06651962518692,False
1.37,-1.112577199935913,2.482577199935913,2.482577199935913,False
1.18,-0.706889629364014,1.8868896293640138,1.8868896293640138,False
1.18,-0.100399702787399,1.280399702787399,1.280399702787399,True
1.39,-0.100399702787399,1.490399702787399,1.490399702787399,True
1.76,-1.352647423744202,3.1126474237442023,3.1126474237442023,False
1.75,-0.880126297473907,2.630126297473907,2.630126297473907,False
1.32,0.49886566400528,0.8211343359947201,0.8211343359947201,True
1.03,-0.410580694675446,1.440580694675446,1.440580694675446,True
0.75,-0.55742084980011,1.3074208498001099,1.3074208498001099,True
0.94,-0.42857027053833,1.36857027053833,1.36857027053833,True
1.65,0.616190791130066,1.033809208869934,1.033809208869934,True
1.69,-0.014495292678475,1.7044952926784749,1.7044952926784749,True
1.88,-0.923833787441254,2.803833787441254,2.803833787441254,False
0.7,0.15611769258976,0.5438823074102399,0.5438823074102399,True
1.54,-0.763082563877106,2.303082563877106,2.303082563877106,False
1.86,-0.853779435157776,2.713779435157776,2.713779435157776,False
1.77,-0.272135823965073,2.042135823965073,2.042135823965073,False
