basin,n_points,median,mad,skew,kurtosis,shapiro_W,shapiro_p,AD_stat,rho_fault,p_fault,n_outliers,pct_outliers,best_k,delta_bic,AD15,AD10,AD5,AD2.5,AD1,cluster1_mean,cluster1_var,cluster2_mean,cluster2_var,cluster3_mean,cluster3_var,cluster4_mean,cluster4_var,n,hi,R2,R2_robust,BP_p,MoranI_resid,coef_elevation,coef_dist_fault_km,coef_hi,coef_cl_2,coef_cl_3,coef_cl_4,VIF_elevation,VIF_dist_fault_km,VIF_hi,VIF_cl_2,VIF_cl_3,VIF_cl_4
global,929.0,0.331670433282852,1.0452124909932003,0.04726503986480309,1.8063332207077956,0.9684240485375654,2.5961083223414047e-13,1.6088234050658912,0.06504621508649126,0.04747854927311691,2.0,0.2152852529601722,4.0,4.962382177170184,0.574,0.653,0.784,0.914,1.087,-0.9820341184774231,7.140308401791922,-0.9532567972001376,0.2681672874380242,-0.07334426235727758,0.15828806566791653,0.9433272742477891,0.21733474902044625,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,929.0,0.23607394363812428,0.6967296865709592,0.6967296865709592,3.0744483721838556e-136,0.19173188075142653,0.00010368783996851809,40.065531103844734,-6.485210889883797,0.360374521666322,1.4286774950153083,2.5701844542282957,1.0377303560927147,1.0270945298835652,205.33658281866397,14.812564640431177,17.40909932041497,16.718688956763092
