window_km,effect_threshold_mm_yr,distance_tolerance_m,n_total_crossings,n_analyzed,n_raw_p_lt_0_05,n_fdr_sig,n_truly_sig,median_abs_effect_mm_yr,background_r2,residual_std_mm_yr
0.5,0.3,250,13,4,1,1,1,0.4607696443377239,0.025329027898545055,0.6387696738004424
0.5,0.3,500,13,4,1,1,1,0.4607696443377239,0.025329027898545055,0.6387696738004424
0.5,0.3,1000,13,4,1,1,1,0.4607696443377239,0.025329027898545055,0.6387696738004424
0.5,0.5,250,13,4,1,1,1,0.4607696443377239,0.025329027898545055,0.6387696738004424
0.5,0.5,500,13,4,1,1,1,0.4607696443377239,0.025329027898545055,0.6387696738004424
0.5,0.5,1000,13,4,1,1,1,0.4607696443377239,0.025329027898545055,0.6387696738004424
0.5,0.7,250,13,4,1,1,0,0.4607696443377239,0.025329027898545055,0.6387696738004424
0.5,0.7,500,13,4,1,1,0,0.4607696443377239,0.025329027898545055,0.6387696738004424
0.5,0.7,1000,13,4,1,1,0,0.4607696443377239,0.025329027898545055,0.6387696738004424
1.0,0.3,250,13,4,1,1,1,0.4607696443377239,0.025329027898545055,0.6387696738004424
1.0,0.3,500,13,4,1,1,1,0.4607696443377239,0.025329027898545055,0.6387696738004424
1.0,0.3,1000,13,4,1,1,1,0.4607696443377239,0.025329027898545055,0.6387696738004424
1.0,0.5,250,13,4,1,1,1,0.4607696443377239,0.025329027898545055,0.6387696738004424
1.0,0.5,500,13,4,1,1,1,0.4607696443377239,0.025329027898545055,0.6387696738004424
1.0,0.5,1000,13,4,1,1,1,0.4607696443377239,0.025329027898545055,0.6387696738004424
1.0,0.7,250,13,4,1,1,0,0.4607696443377239,0.025329027898545055,0.6387696738004424
1.0,0.7,500,13,4,1,1,0,0.4607696443377239,0.025329027898545055,0.6387696738004424
1.0,0.7,1000,13,4,1,1,0,0.4607696443377239,0.025329027898545055,0.6387696738004424
2.0,0.3,250,13,4,1,1,1,0.4607696443377239,0.025329027898545055,0.6387696738004424
2.0,0.3,500,13,4,1,1,1,0.4607696443377239,0.025329027898545055,0.6387696738004424
2.0,0.3,1000,13,4,1,1,1,0.4607696443377239,0.025329027898545055,0.6387696738004424
2.0,0.5,250,13,4,1,1,1,0.4607696443377239,0.025329027898545055,0.6387696738004424
2.0,0.5,500,13,4,1,1,1,0.4607696443377239,0.025329027898545055,0.6387696738004424
2.0,0.5,1000,13,4,1,1,1,0.4607696443377239,0.025329027898545055,0.6387696738004424
2.0,0.7,250,13,4,1,1,0,0.4607696443377239,0.025329027898545055,0.6387696738004424
2.0,0.7,500,13,4,1,1,0,0.4607696443377239,0.025329027898545055,0.6387696738004424
2.0,0.7,1000,13,4,1,1,0,0.4607696443377239,0.025329027898545055,0.6387696738004424
