fault_distance_km,fault_type,raw_effect_mm_yr,p_value_raw,p_value_fdr,truly_significant,significant_fdr,window_km_used,n_faults_consolidated,drainage_class,lc_mode,lc_point_meta
10.709999999999964,Reverse,-1.7348593554925174,0.01755520005097722,0.225291733987541,False,False,0.5,6,endorheic–terminal,Urban,Urban
11.999999999999936,Reverse,-1.3722084734056677,0.010971030888476146,0.16998921265329986,False,False,0.5,4,endorheic–terminal,Urban,Urban
15.591666666666526,Reverse,-1.0039817204450323,0.032866803223825354,0.28119376091495024,False,False,0.5,18,endorheic–terminal,Urban,Water
18.157826086956455,Reverse,1.3449329057565103,0.011038260561902586,0.16998921265329986,False,False,0.5,23,endorheic–terminal,Urban,Urban
19.70999999999999,Reverse,1.7645528997209938,0.00011302591388726767,0.00870299536931961,True,True,0.7173231886671865,6,endorheic–terminal,Urban,Water
23.760000000000144,Reverse,-1.0429841586409654,0.027534392431164498,0.26501852714995827,False,False,0.8432323412858096,1,endorheic–terminal,Urban,Urban
28.050000000000306,Reverse,-2.8438264711336654,0.004503414121098621,0.11558762910819793,False,False,0.5,5,endorheic–terminal,Urban,Urban
28.89000000000034,Unknown,2.267244268031347,0.022792452845631743,0.25071698130194914,False,False,0.6790036965790718,1,endorheic–terminal,Urban,Urban
50.010000000001135,Reverse,1.2706113182391752,0.04212373712199709,0.2948661598539796,False,False,0.6128413300665811,5,endorheic–terminal,Urban,Urban
88.8000000000026,Reverse,-1.0585091343039974,0.004104802515651026,0.11558762910819793,False,False,0.875020852195957,4,endorheic–terminal,Water,Urban
131.0400000000042,Reverse,-0.9694808150109433,0.037446863853328,0.2883408516706256,False,False,0.6261916739659479,1,endorheic–terminal,Water,Urban
