window_km,effect_threshold_mm_yr,distance_tolerance_m,n_total_crossings,n_analyzed,n_raw_p_lt_0_05,n_fdr_sig,n_truly_sig,median_abs_effect_mm_yr,background_r2,residual_std_mm_yr
0.5,0.3,250,362,79,9,2,2,0.3597579963791828,0.024229272612912717,1.6911629318629928
0.5,0.3,500,362,79,9,2,2,0.3597579963791828,0.024229272612912717,1.6911629318629928
0.5,0.3,1000,362,79,9,2,2,0.3597579963791828,0.024229272612912717,1.6911629318629928
0.5,0.5,250,362,79,9,2,2,0.3597579963791828,0.024229272612912717,1.6911629318629928
0.5,0.5,500,362,79,9,2,2,0.3597579963791828,0.024229272612912717,1.6911629318629928
0.5,0.5,1000,362,79,9,2,2,0.3597579963791828,0.024229272612912717,1.6911629318629928
0.5,0.7,250,362,79,9,2,2,0.3597579963791828,0.024229272612912717,1.6911629318629928
0.5,0.7,500,362,79,9,2,2,0.3597579963791828,0.024229272612912717,1.6911629318629928
0.5,0.7,1000,362,79,9,2,2,0.3597579963791828,0.024229272612912717,1.6911629318629928
1.0,0.3,250,362,77,11,1,1,0.36735373590555465,0.024229272612912717,1.6911629318629928
1.0,0.3,500,362,77,11,1,1,0.36735373590555465,0.024229272612912717,1.6911629318629928
1.0,0.3,1000,362,77,11,1,1,0.36735373590555465,0.024229272612912717,1.6911629318629928
1.0,0.5,250,362,77,11,1,1,0.36735373590555465,0.024229272612912717,1.6911629318629928
1.0,0.5,500,362,77,11,1,1,0.36735373590555465,0.024229272612912717,1.6911629318629928
1.0,0.5,1000,362,77,11,1,1,0.36735373590555465,0.024229272612912717,1.6911629318629928
1.0,0.7,250,362,77,11,1,1,0.36735373590555465,0.024229272612912717,1.6911629318629928
1.0,0.7,500,362,77,11,1,1,0.36735373590555465,0.024229272612912717,1.6911629318629928
1.0,0.7,1000,362,77,11,1,1,0.36735373590555465,0.024229272612912717,1.6911629318629928
2.0,0.3,250,362,78,10,0,0,0.3849352310976071,0.024229272612912717,1.6911629318629928
2.0,0.3,500,362,78,10,0,0,0.3849352310976071,0.024229272612912717,1.6911629318629928
2.0,0.3,1000,362,78,10,0,0,0.3849352310976071,0.024229272612912717,1.6911629318629928
2.0,0.5,250,362,78,10,0,0,0.3849352310976071,0.024229272612912717,1.6911629318629928
2.0,0.5,500,362,78,10,0,0,0.3849352310976071,0.024229272612912717,1.6911629318629928
2.0,0.5,1000,362,78,10,0,0,0.3849352310976071,0.024229272612912717,1.6911629318629928
2.0,0.7,250,362,78,10,0,0,0.3849352310976071,0.024229272612912717,1.6911629318629928
2.0,0.7,500,362,78,10,0,0,0.3849352310976071,0.024229272612912717,1.6911629318629928
2.0,0.7,1000,362,78,10,0,0,0.3849352310976071,0.024229272612912717,1.6911629318629928
