basin,n_points,median,mad,skew,kurtosis,shapiro_W,shapiro_p,AD_stat,rho_fault,p_fault,n_outliers,pct_outliers,best_k,delta_bic,AD15,AD10,AD5,AD2.5,AD1,cluster1_mean,cluster1_var,cluster2_mean,cluster2_var,n,hi,R2,R2_robust,BP_p,MoranI_resid,coef_elevation,coef_dist_fault_km,coef_hi,coef_cl_2,VIF_elevation,VIF_dist_fault_km,VIF_hi,VIF_cl_2
global,428.0,0.28499731421470653,0.9996248934046059,-0.2505161959703926,2.214860827555427,0.8800369956036045,1.0121041244298456e-17,16.557900717378686,-0.08226475846295425,0.08916639387344717,3.0,0.7009345794392523,2.0,11.30649505593874,0.571,0.65,0.78,0.91,1.082,-1.283725854980494,1.0566611240425239,0.44580298031474697,0.20929537481126292,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,428.0,0.520234877321017,0.6984854646394367,0.6984854646394367,1.4561774971283504e-11,0.13781166060461936,-0.00028835584459813667,-185.76817958721387,-2.6938764797501635,2.786776300105771,1.1861463483680685,1.058330593600735,57.16307851857816,1.2482360484190216
