fault_distance_km,fault_type,landcover_class,upstream_n,downstream_n,raw_effect_mm_yr,residual_effect_mm_yr,t_statistic,p_value_raw,window_km_used,lc_mode,lc_entropy,lc_point_meta,p_lc_urban,p_lc_agriculture,p_lc_forest,p_lc_shrubland,p_lc_grass_shrub,p_lc_wetland,p_lc_water,p_lc_ice_snow,p_lc_bare_sparse,p_lc_other,drainage_class,is_internal,n_faults_consolidated,residual_effect_median_mm_yr,p_value_mw,robust_significant,residual_effect_median_lowess_mm_yr,p_value_mw_lowess,robust_significant_lowess,effect_significant,p_value_fdr,p_value_bonf,significant_fdr,significant_bonf,statistically_significant,truly_significant
0.49500000000000033,Reverse,11,4,12,-3.3485635633890825,-3.360783045351269,4.1514818751883835,0.010765102551764475,1.9754123111928052,Urban,0.7346366454699506,Urban,0.7469879518072289,0.0,0.04819277108433735,0.0,0.0,0.0,0.1927710843373494,0.0,0.012048192771084338,0.0,exorheic–inland,False,6,-3.171920478743064,0.001098901098901099,True,-3.06704238082803,0.001098901098901099,True,True,0.13994633317293817,0.41983899951881454,False,False,True,False
1.010000000000001,Reverse,11,7,15,-1.008648007363081,-1.0228688603472813,1.0455673653849389,0.3249317252744175,2.0,Urban,0.704870369781923,Urban,0.7722772277227723,0.0,0.0594059405940594,0.0,0.0,0.0,0.15841584158415842,0.0,0.009900990099009901,0.0,exorheic–inland,False,3,-1.5151014690740203,0.33219579697907864,False,-1.4035655180093296,0.33219579697907864,False,True,0.6400461163734495,1.0,False,False,False,False
3.699999999999991,Reverse,8,17,12,0.8375775491197905,0.8237705417284594,-1.3684008034694568,0.18317038706194644,1.8318285707165707,Urban,0.5823346860880483,Water,0.7950819672131147,0.0,0.02459016393442623,0.0,0.0,0.0,0.18032786885245902,0.0,0.0,0.0,exorheic–inland,False,3,1.6004325913683557,0.13796685750816448,False,1.7258453137764436,0.09680829788098652,False,True,0.5495111611858393,1.0,False,False,False,False
6.090000000000006,Left Lateral,11,15,37,0.46615860189671987,0.45292521215251025,-1.1851049744176434,0.24341386046512983,1.934222127931372,Urban,0.6446036026477566,Urban,0.813953488372093,0.0,0.031007751937984496,0.0,0.007751937984496124,0.0,0.13178294573643412,0.0,0.015503875968992248,0.0,exorheic–inland,False,1,0.2920303795357899,0.09767571165744947,False,0.40293758937150165,0.04777165178869999,False,False,0.6400461163734495,1.0,False,False,False,False
8.07000000000002,Unknown,11,36,39,0.007186796946021423,-0.0065109769095972325,0.01918375058260826,0.9847490121143244,1.9071360933058736,Urban,0.5545908072494291,Urban,0.8661417322834646,0.0,0.031496062992125984,0.0,0.007874015748031496,0.0,0.06299212598425197,0.0,0.031496062992125984,0.0,exorheic–inland,False,1,-0.02940068224097936,0.836171876226159,False,0.1167119448670878,0.73834220592312,False,False,0.9847490121143244,1.0,False,False,False,False
8.768571428571434,Right Lateral,11,36,32,-0.07346558185397756,-0.08609448780706708,0.25040107520840477,0.8030961713882394,1.574135775083513,Urban,0.5622864497369234,Urban,0.8666666666666667,0.0,0.0380952380952381,0.0,0.009523809523809525,0.0,0.047619047619047616,0.0,0.0380952380952381,0.0,exorheic–inland,False,7,0.034247587098206855,0.877936672327069,False,0.14940586607103978,0.6896559848633886,False,False,0.9011284619902554,1.0,False,False,False,False
9.404150943396218,Right Lateral,11,33,31,-0.5890133804655321,-0.6012054731859704,1.881281148915233,0.06509377065510892,1.4842476473047697,Urban,0.587413776873918,Urban,0.8585858585858586,0.0,0.04040404040404041,0.0,0.010101010101010102,0.0,0.050505050505050504,0.0,0.04040404040404041,0.0,exorheic–inland,False,53,-0.48198783070044304,0.060010005462266126,False,-0.38365794886943844,0.19717685050988576,False,True,0.37295920080712086,1.0,False,False,False,False
10.612499999999969,Right Lateral,11,27,17,0.026743410540691737,0.016051554586267724,-0.04082549281937461,0.9676426044763848,1.4087424993211521,Urban,0.30193551736355284,Urban,0.9361702127659575,0.0,0.031914893617021274,0.0,0.0,0.0,0.02127659574468085,0.0,0.010638297872340425,0.0,exorheic–inland,False,28,-0.3381862618407344,0.7540193289212603,False,-0.271561120585116,0.9807701439050407,False,False,0.9847490121143244,1.0,False,False,False,False
11.405769230769177,Right Lateral,11,22,18,-0.32669757159821927,-0.33965762822478013,0.7271877875661771,0.47362922544792296,1.4016972557187315,Urban,0.20158364614073146,Urban,0.956989247311828,0.0,0.03225806451612903,0.0,0.0,0.0,0.010752688172043012,0.0,0.0,0.0,exorheic–inland,False,26,-0.326247140475152,0.7339849083091035,False,-0.0822168792287484,1.0,False,False,0.7696474913528748,1.0,False,False,False,False
12.431999999999928,Right Lateral,11,15,33,-1.7162613324820994,-1.7274322173239636,4.745926995988749,2.290733907592634e-05,1.430745728840515,Urban,0.11570538382845746,Urban,0.9791666666666666,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.0,0.010416666666666666,0.0,exorheic–inland,False,10,-1.5664164227387407,0.00024248742301735264,True,-1.3017707571028734,0.0010766328645878014,True,True,0.0008933862239611272,0.0008933862239611272,True,True,True,True
12.779999999999918,Right Lateral,11,19,38,-0.757322077296282,-0.7688677058281027,1.672943053354442,0.10434220938676345,1.6133903642702152,Urban,0.14569848051963843,Urban,0.9719626168224299,0.0,0.0,0.0,0.0,0.0,0.009345794392523364,0.0,0.018691588785046728,0.0,exorheic–inland,False,11,-0.9862569952456162,0.05685675270604539,False,-0.8510833740412094,0.12140083757113657,False,True,0.4521495740093082,1.0,False,False,False,False
13.774615384615286,Right Lateral,11,27,25,-0.07020811937473437,-0.07866887830787228,0.20258761328830135,0.8403138398653668,1.2514303255592858,Urban,0.11357945250036379,Urban,0.9759036144578314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024096385542168676,0.0,exorheic–inland,False,13,-0.1643151554598954,0.5953304191142341,False,-0.002410493256845725,0.9853877671358386,False,False,0.9011284619902554,1.0,False,False,False,False
14.090624999999893,Right Lateral,11,30,23,-0.1148920875960503,-0.12407040410838371,0.33540311942781065,0.738697193364802,1.1942160699995104,Urban,0.26506681017759604,Urban,0.9375,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.05,0.0,exorheic–inland,False,16,-0.2957158653568503,0.5124475929265251,False,-0.11650258969789018,0.8787598304426912,False,False,0.9011284619902554,1.0,False,False,False,False
14.896153846153721,Right Lateral,11,24,19,0.5422617673808546,0.5337530877057939,-1.5344355169078423,0.1328178215660481,1.10667515349746,Urban,0.3179338294994973,Urban,0.918918918918919,0.0,0.013513513513513514,0.0,0.0,0.0,0.0,0.0,0.06756756756756757,0.0,exorheic–inland,False,13,0.4692904263658222,0.1325732141685195,False,0.7002049498941773,0.05804943041208511,False,True,0.4599688822282012,1.0,False,False,False,False
17.003999999999888,Right Lateral,5,19,16,0.11520524906901353,0.10716739631585298,-0.345493084758805,0.7321893423660172,0.9758533269013658,Urban,0.681791246092645,Bare/Sparse,0.8307692307692308,0.0,0.03076923076923077,0.0,0.0,0.0,0.03076923076923077,0.046153846153846156,0.06153846153846154,0.0,exorheic–inland,False,5,0.14436555651837946,0.803863757670262,False,0.18139321628174432,0.7033493939439278,False,False,0.9011284619902554,1.0,False,False,False,False
17.759999999999916,Right Lateral,11,14,20,0.17505755856899274,0.1676825063528704,-0.5526425166638783,0.5844426307047323,0.9893096904500778,Urban,0.7425300824001544,Urban,0.7846153846153846,0.0,0.03076923076923077,0.0,0.0,0.0,0.03076923076923077,0.015384615384615385,0.13846153846153847,0.0,exorheic–inland,False,2,0.612521763461719,0.5875519233644478,False,0.6361454150943278,0.5875519233644478,False,False,0.866593716738181,1.0,False,False,False,False
18.16999999999993,Right Lateral,11,14,17,-0.33619900820229,-0.34200985161571634,0.9955705442699389,0.32822877762741,0.7805035092228056,Urban,0.7883132171593317,Urban,0.7692307692307693,0.0,0.057692307692307696,0.0,0.0,0.0,0.019230769230769232,0.019230769230769232,0.1346153846153846,0.0,exorheic–inland,False,3,-0.1289740964649665,0.43890886310183785,False,-0.12402370690362824,0.43890886310183785,False,False,0.6400461163734495,1.0,False,False,False,False
19.26999999999997,Right Lateral,11,11,11,-0.5750222023237836,-0.579373668106496,1.0714846033825625,0.29709492905250906,0.5285591369392537,Urban,0.6915424017606948,Urban,0.8,0.0,0.11428571428571428,0.0,0.0,0.0,0.02857142857142857,0.05714285714285714,0.0,0.0,exorheic–inland,False,3,-0.4760883680615294,0.10066768749863966,False,-0.47985680432574657,0.10066768749863966,False,True,0.6400461163734495,1.0,False,False,False,False
20.580000000000023,Right Lateral,11,13,8,0.12097309031881953,0.11614382053060351,-0.21166687477061413,0.8359563134571142,0.5329602672323372,Urban,0.3470668257548097,Urban,0.9142857142857143,0.0,0.05714285714285714,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,exorheic–inland,False,1,-0.22709924581845753,0.33627205268072147,False,-0.2510987208576621,0.30112536242567206,False,False,0.9011284619902554,1.0,False,False,False,False
22.35750000000009,Right Lateral,11,19,21,-0.610854946387311,-0.6179369908634558,2.4973873235427178,0.017404988979094243,0.8984473384657576,Urban,0.713743799156952,Urban,0.8166666666666667,0.0,0.016666666666666666,0.0,0.0,0.0,0.06666666666666667,0.05,0.05,0.0,exorheic–inland,False,8,-0.27163045128273394,0.04222483612320902,False,-0.30748323932617144,0.034639363442019094,False,True,0.16969864254616887,0.6787945701846755,False,False,True,False
23.220000000000123,Reverse,11,25,29,0.4647664896321707,0.45579004154299696,-2.3464154776455217,0.022802111689896327,1.092689786665067,Urban,0.8496660589423121,Urban,0.7671232876712328,0.0,0.0410958904109589,0.0,0.0,0.0,0.0410958904109589,0.0958904109589041,0.0547945205479452,0.0,exorheic–inland,False,1,0.43167967650933553,0.030124132746791096,False,0.3718163250813994,0.05415590311260846,False,False,0.17785647118119138,0.8892823559059567,False,False,True,False
24.330000000000165,Reverse,11,25,21,-0.2812276583697113,-0.2882426861764292,1.1448256568934974,0.2590908989854659,0.9642052693975782,Urban,0.790632283842934,Urban,0.7692307692307693,0.0,0.06153846153846154,0.0,0.0,0.0,0.0,0.09230769230769231,0.07692307692307693,0.0,exorheic–inland,False,2,-0.23051395149375586,0.23371383144805147,False,-0.27835778073009515,0.21684837778116783,False,False,0.6400461163734495,1.0,False,False,False,False
25.02000000000019,Reverse,11,25,23,0.2165617312361365,0.20838743585317937,-0.8188674920823638,0.41718572473546867,0.9371162766505281,Urban,0.8059916539219065,Urban,0.7936507936507936,0.0,0.047619047619047616,0.015873015873015872,0.0,0.0,0.047619047619047616,0.015873015873015872,0.07936507936507936,0.0,exorheic–inland,False,2,0.21063474591731934,0.43290643043315513,False,0.18460774978586086,0.4701007598741286,False,False,0.7662641755012126,1.0,False,False,False,False
26.056000000000232,Left Lateral,11,16,15,-0.4771778405799218,-0.48282351365528564,1.514351482106185,0.14152888683944653,0.6580885607049101,Urban,0.5648452627817429,Urban,0.8409090909090909,0.0,0.022727272727272728,0.022727272727272728,0.0,0.0,0.11363636363636363,0.0,0.0,0.0,exorheic–inland,False,15,-0.5573098809025872,0.09296509721535881,False,-0.5600723249836965,0.08552546392406539,False,False,0.4599688822282012,1.0,False,False,False,False
28.200000000000312,Reverse,11,5,9,-0.668581745028496,-0.6735369914292977,1.9597933275892763,0.07414607041301202,0.5,Urban,0.6580309975500831,Urban,0.8181818181818182,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.09090909090909091,0.06060606060606061,0.0,exorheic–inland,False,1,-0.6270961152643155,0.11188811188811189,False,-0.6188541334993236,0.11188811188811189,False,True,0.37295920080712086,1.0,False,False,False,False
28.830000000000336,Reverse,11,10,11,-0.10997150242328646,-0.11394937894855656,0.2988306938269308,0.7684482408431406,0.5,Urban,0.7194778101283594,Urban,0.7878787878787878,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.12121212121212122,0.06060606060606061,0.0,exorheic–inland,False,1,0.11960789992736953,0.8053241706182483,False,0.1318503129004857,0.8053241706182483,False,False,0.9011284619902554,1.0,False,False,False,False
31.485000000000436,Unknown,11,18,22,-0.06429845708977416,-0.07221953992513472,0.22599799389659833,0.8224283874900021,1.0272759119469541,Urban,1.0036722388624353,Urban,0.6911764705882353,0.0,0.014705882352941176,0.014705882352941176,0.0,0.0,0.04411764705882353,0.16176470588235295,0.07352941176470588,0.0,exorheic–inland,False,2,0.06291057726258453,0.7136071636542777,False,0.11817967315737388,0.7961981959031372,False,False,0.9011284619902554,1.0,False,False,False,False
31.98000000000045,Left Lateral,8,18,18,-0.29568485517261756,-0.30230049827316446,0.7949938371284223,0.43225158618017123,0.9492490111165979,Urban,1.054577808150765,Water,0.6507936507936508,0.0,0.031746031746031744,0.0,0.0,0.0,0.031746031746031744,0.14285714285714285,0.14285714285714285,0.0,exorheic–inland,False,4,-0.2507998814440322,0.3038301300878443,False,-0.21832505428263288,0.35064512183188634,False,False,0.7662641755012126,1.0,False,False,False,False
35.505000000000585,Left Lateral,11,16,22,0.43949313009877433,0.43207043160661673,-1.0605509558929138,0.29693526204541437,0.8711934148364611,Urban,1.3148789104927636,Urban,0.46551724137931033,0.0,0.06896551724137931,0.0,0.0,0.0,0.034482758620689655,0.1896551724137931,0.2413793103448276,0.0,exorheic–inland,False,4,0.40126915679555913,0.3994409100246501,False,0.44981374101754584,0.336611178667219,False,False,0.6400461163734495,1.0,False,False,False,False
40.38000000000077,Left Lateral,8,31,31,0.06859718748338262,0.05929511625472006,-0.1836486219834783,0.8549167459907551,1.148316865097934,Ice/Snow,1.3013169093496995,Water,0.2727272727272727,0.0,0.025974025974025976,0.0,0.0,0.0,0.03896103896103896,0.37662337662337664,0.2857142857142857,0.0,exorheic–inland,False,3,0.2211155515896166,0.7567673379080005,False,0.23303192648879367,0.735449274833904,False,False,0.9011284619902554,1.0,False,False,False,False
41.40000000000081,Left Lateral,11,33,33,0.08126832517992832,0.07199934928504442,-0.20215284535834183,0.8404605878341136,1.2077273389383059,Urban,1.3556863535969095,Urban,0.32098765432098764,0.0,0.04938271604938271,0.0,0.0,0.0,0.037037037037037035,0.2839506172839506,0.30864197530864196,0.0,exorheic–inland,False,2,-0.042556278507348555,0.6815250854341361,False,-0.04403896075757041,0.7004345227487985,False,False,0.9011284619902554,1.0,False,False,False,False
45.87000000000098,Left Lateral,11,22,17,-0.7021480019249141,-0.707004537408949,1.5580371766482959,0.1300383616936521,0.7229843043097366,Urban,1.0863485801191999,Urban,0.5306122448979592,0.0,0.04081632653061224,0.0,0.0,0.0,0.0,0.12244897959183673,0.30612244897959184,0.0,exorheic–inland,False,1,-0.7855821395486062,0.011250373850974384,True,-0.8156962418387032,0.008094257583066155,True,True,0.4599688822282012,1.0,False,False,False,False
46.79142857142959,Left Lateral,11,18,22,0.19814987354582614,0.1901073270314359,-0.5296059873672205,0.599949496203356,0.8614340015621385,Urban,1.0642471260748145,Urban,0.5517241379310345,0.0,0.017241379310344827,0.0,0.0,0.0,0.06896551724137931,0.034482758620689655,0.3275862068965517,0.0,exorheic–inland,False,7,0.24127091383500443,0.7339849083091035,False,0.2129830845059077,0.8811393893635913,False,False,0.866593716738181,1.0,False,False,False,False
48.270000000001076,Left Lateral,11,25,23,0.4503157271185646,0.4444073317970535,-1.048182734901563,0.30010835281021514,0.8108046812962009,Urban,1.0492035495430907,Urban,0.6181818181818182,0.0,0.01818181818181818,0.0,0.0,0.0,0.01818181818181818,0.18181818181818182,0.16363636363636364,0.0,exorheic–inland,False,19,0.33574676641521956,0.2740464481829259,False,0.30742122863356536,0.3218791834841994,False,False,0.6400461163734495,1.0,False,False,False,False
51.648000000001204,Left Lateral,11,21,16,1.3163624174748771,1.3093013303378334,-3.2831708630616045,0.0024647999094497106,0.8408093137384878,Urban,1.2983710790674632,Urban,0.5,0.0,0.0,0.07142857142857142,0.0,0.0,0.05357142857142857,0.125,0.25,0.0,exorheic–inland,False,15,1.575399154789943,0.003092432547249798,True,1.508541620737902,0.0037664963726407015,True,True,0.04806359823426936,0.0961271964685387,True,False,True,True
54.480000000001304,Left Lateral,11,15,19,-0.09096121513529826,-0.09628731987791815,0.24910868933746216,0.8053477748963072,0.6562040380089842,Urban,0.29744494067781024,Urban,0.9302325581395349,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,exorheic–inland,False,1,-0.4941831772032659,0.6772543048794241,False,-0.5029261256449127,0.6520636530815207,False,False,0.9011284619902554,1.0,False,False,False,False
58.38000000000145,Reverse,11,12,11,-0.36428724943349744,-0.36828847528735775,0.7367039015242192,0.4704953301613506,0.5,Urban,0.6738870019065845,Urban,0.8181818181818182,0.0,0.06060606060606061,0.06060606060606061,0.0,0.0,0.0,0.06060606060606061,0.0,0.0,exorheic–inland,False,2,-0.10528393081766305,0.8294475889935782,False,-0.11393674850841512,0.6443731499599503,False,False,0.7696474913528748,1.0,False,False,False,False
63.720000000001654,Reverse,11,12,15,-0.8417457184443872,-0.8455205265664639,1.8669230920242281,0.07650445144761453,0.5,Urban,0.8582175810509143,Urban,0.7575757575757576,0.0,0.09090909090909091,0.030303030303030304,0.0,0.0,0.0,0.09090909090909091,0.030303030303030304,0.0,exorheic–inland,False,1,-0.42360630738298133,0.07490957015830448,False,-0.43033292970575376,0.07490957015830448,False,True,0.37295920080712086,1.0,False,False,False,False
67.8900000000018,Reverse,7,12,14,-0.16499902707125458,-0.1690156675251579,0.6393162938485576,0.5287253733083317,0.5,Urban,1.2270134148346692,Ice/Snow,0.6060606060606061,0.0,0.030303030303030304,0.12121212121212122,0.0,0.0,0.030303030303030304,0.06060606060606061,0.15151515151515152,0.0,exorheic–inland,False,1,-0.0055783524429440234,0.8976851458261728,False,-0.016358377828582793,0.8571364155923,False,False,0.8248115823609974,1.0,False,False,False,False
