distance_km,velocity_mean,velocity_std,slope_mean,slope_std,roughness_mean,roughness_std
0.24,1.672721803188324,1.4513862067780074,1.5746089412885553,1.5010070486778717,2.288129021139706,2.0895987647579686
0.7500000000000003,-2.0763885378837585,1.2709570969517472,4.636956779395833,5.447858888684141,6.180075252757353,7.491282615800485
1.245000000000001,-2.013744831085205,2.3886038556981495,2.9166890382766724,4.316029784369805,4.2420806884765625,5.749308087673037
1.740000000000001,-1.521076560020447,,1.2428773965905695,1.0585632315733928,1.9184857536764706,1.3403811694376961
2.25,-1.388728214427829,1.1719654679146296,1.7695868032820086,1.7903813235658612,2.594784007352941,2.483875190687732
2.7599999999999967,-0.04323019584020001,1.4983318828444527,1.565999343114741,1.2581504584874286,2.3138786764705883,1.7897713371831956
3.2549999999999937,-1.5195620656013493,2.4624324946550207,1.896011448930949,2.761766401884419,2.7158355712890625,3.6316955823413326
3.7499999999999902,-0.5273540645837783,1.883190065572583,1.7703386089381052,1.7473410865694081,2.4659495634191178,2.25629432269737
4.259999999999991,0.764620045820872,1.269349425650761,3.080132994581671,6.750265685588575,4.558493221507353,9.43405448509497
4.7549999999999955,0.892397582530975,,0.9562773432116956,1.1729090254289944,1.5162506103515625,1.6352991178559015
5.25,0.10881800949573506,1.23814305804139,1.8861708500806023,1.4447599882831805,2.7942756204044117,1.876036432912763
5.745000000000004,0.08904306590557083,1.268173003391415,2.5422277189791207,2.6065985134639202,3.509490966796875,3.4372815263564185
6.240000000000008,0.8029104396700859,1.7640259208900189,1.6958963871002197,1.7277772005391714,2.4129279641544117,2.0336597727595698
6.750000000000012,0.15244301874190563,1.8004882524060144,2.558167232310071,1.9258498400938173,3.713910271139706,2.6650650289231455
7.245000000000016,0.30573550505297503,1.6900776242207358,1.371615320444107,0.684925794563135,2.2915496826171875,1.652831752895405
7.740000000000021,0.6635477300733329,1.123043158733481,1.875792366616866,1.3823928377526884,2.718994140625,1.9629133820993803
8.250000000000016,0.936283698448768,0.7640017364388967,2.0151872468345307,2.3854870427474517,2.981201171875,3.5838904074841653
8.745000000000006,-0.006640928238630295,1.3367196173742475,0.9794530142098665,1.0398252617290982,1.3850860595703125,1.35920015202643
9.239999999999995,0.8953154727816581,1.3918457229851313,1.8309767421554117,2.615937153027455,2.7930836397058822,3.9289715269358925
9.749999999999984,0.37869810760021205,1.9452059086343696,4.921072530176709,6.149044778055933,7.473446116727941,9.18155636189017
10.259999999999973,0.3173077315092086,0.9861686203173861,6.05036999372875,5.620207172472004,8.526898552389707,6.936895212151284
10.754999999999962,-0.04503692826256177,1.238501722943411,6.281951237469912,6.934286994997185,8.922012329101562,9.86283668204825
11.249999999999952,0.1530326150357722,0.7135075262544982,4.866122845341177,5.368931885549575,7.104420381433823,7.843215833369396
11.759999999999941,0.9504109310607113,1.0344921425445817,5.700312130591449,5.800351669143888,8.322624655330882,8.634029158182662
12.254999999999932,-0.3793379689256353,2.3653459904140743,2.4529493637382984,2.6089993907806184,4.0443572998046875,4.407986737141642
12.74999999999992,-0.8177252326692857,1.2608319950453928,2.9418535828590398,3.1335280209096568,4.283160041360294,4.18323039876341
13.25999999999991,-1.0283812467868514,1.4425355056304798,3.5263407177784862,3.406297475407562,5.185345818014706,5.321461445124903
13.7549999999999,-0.8294328232606252,1.6833703224283567,3.925226729363203,4.131227017954822,5.332366943359375,5.209667690405639
14.249999999999888,-1.1180539667606353,1.4656095211928362,5.213900588891086,7.064755560737258,7.346320657169118,9.371328436458837
14.759999999999877,-0.9922099150717258,0.9533917833460395,3.3071627687005436,3.0109590473174355,4.9203957950367645,4.100722035600403
15.254999999999866,-1.0810284153981642,0.8053764616155095,2.6643313383683567,4.3107490144461025,3.9461669921875,6.051372770222267
15.749999999999856,0.2772503005606787,1.0176358526954938,9.214272135320831,10.484148823484288,12.62548828125,14.6807494243819
16.25999999999986,-0.6638925820589067,0.9004991526873126,5.54446659543935,7.251840808417262,8.263844209558824,10.951417816039061
16.754999999999878,-1.1728978920727968,0.6892575198417451,4.24701114743948,5.209535644085166,6.195953369140625,7.1788643819321685
17.249999999999897,-1.3634766712784767,0.6143322846544438,5.93746177096139,6.336715953355166,8.230799057904411,8.420045134983937
17.759999999999916,-0.27588788275089526,0.9431379317029491,12.05057433422874,12.312015001288895,18.988453584558822,19.971437688579048
18.254999999999935,-1.0396411687135694,0.614385611576886,2.4627859201282263,3.9930461960791765,3.796875,6.093259363881908
18.749999999999954,-0.808410981670022,1.1717500698254169,3.9133800127926994,4.074218556877185,5.644459443933823,5.536024503891407
19.259999999999973,-2.020710584521294,1.1253556729691458,11.471622586250305,11.652956407769583,16.442052504595587,16.47506963518627
19.754999999999992,-1.186360490322113,0.8815202198426247,11.685489751398563,10.21475413641783,17.6580810546875,15.414820847544142
20.25000000000001,-0.8599147034609423,1.0456627167023396,10.88052535758299,12.928070985989516,15.51171875,18.48310684576321
20.74500000000003,-0.28315610190232615,1.3280783499264113,9.696324482560158,9.187464523274882,13.512252807617188,13.13314040925562
21.240000000000048,-0.8317804292310029,1.2113473445987695,6.422675749834846,9.228078433406225,9.353802849264707,11.879130967298437
21.750000000000068,0.1135575190186501,0.9728648547403369,5.008313789087183,6.765246347185033,7.325310202205882,9.828200250194117
22.245000000000086,-0.48627898655831797,0.5177839667954722,8.556837014853954,8.219209183968097,13.375534057617188,12.647275659410075
22.740000000000105,-1.0226356863975525,0.7311818995465538,6.538374104920556,7.586827835330595,9.446375229779411,10.235512448919318
23.250000000000124,-0.9163408960614886,0.4621206383535167,5.115466524572933,3.9282014542980357,7.536218979779412,5.6775930916189825
23.745000000000143,-0.31567443199455736,0.6400161297940733,7.628698695451021,6.4912492718727455,11.488372802734375,10.017285895292018
24.240000000000162,-0.26105955010280013,0.9730075877585029,5.558443002841052,7.650068825923787,8.506807215073529,11.478857290374206
24.75000000000018,-0.4690242757399877,0.9357112932461842,6.462826595586889,10.271656257476417,9.914364085477942,15.62650224128637
25.2450000000002,-0.2077607497572899,0.8233836476604602,8.596791859250516,10.111154069861254,13.221420288085938,16.129840203119794
25.74000000000022,-0.17868296200266254,0.7647434335390026,5.749719027210684,7.87737790169337,8.851375804227942,10.352497926059204
26.250000000000238,-0.6702793190876641,1.1895007203674064,9.185644903603722,8.087129467957203,13.153822954963236,11.525993369053262
26.745000000000257,-0.3584165163338185,0.5789389410303786,5.807079341262579,8.234080541236942,9.110092163085938,12.188280867468658
27.240000000000276,-0.7040633380413055,1.4489861436917781,13.278430598623613,10.628732605906702,20.23451861213235,15.969503549410888
27.750000000000295,-0.3499491158872843,0.36853652073934895,11.706529512124902,11.490055357586629,17.21860638786765,16.857824333808615
