window_km,effect_threshold_mm_yr,distance_tolerance_m,n_total_crossings,n_analyzed,n_raw_p_lt_0_05,n_fdr_sig,n_truly_sig,median_abs_effect_mm_yr,background_r2,residual_std_mm_yr
0.5,0.3,250,6,5,1,0,0,0.4112651400268077,0.1382914718551407,0.6608977998898562
0.5,0.3,500,6,5,1,0,0,0.4112651400268077,0.1382914718551407,0.6608977998898562
0.5,0.3,1000,6,5,1,0,0,0.4112651400268077,0.1382914718551407,0.6608977998898562
0.5,0.5,250,6,5,1,0,0,0.4112651400268077,0.1382914718551407,0.6608977998898562
0.5,0.5,500,6,5,1,0,0,0.4112651400268077,0.1382914718551407,0.6608977998898562
0.5,0.5,1000,6,5,1,0,0,0.4112651400268077,0.1382914718551407,0.6608977998898562
0.5,0.7,250,6,5,1,0,0,0.4112651400268077,0.1382914718551407,0.6608977998898562
0.5,0.7,500,6,5,1,0,0,0.4112651400268077,0.1382914718551407,0.6608977998898562
0.5,0.7,1000,6,5,1,0,0,0.4112651400268077,0.1382914718551407,0.6608977998898562
1.0,0.3,250,6,5,1,0,0,0.4112651400268077,0.1382914718551407,0.6608977998898562
1.0,0.3,500,6,5,1,0,0,0.4112651400268077,0.1382914718551407,0.6608977998898562
1.0,0.3,1000,6,5,1,0,0,0.4112651400268077,0.1382914718551407,0.6608977998898562
1.0,0.5,250,6,5,1,0,0,0.4112651400268077,0.1382914718551407,0.6608977998898562
1.0,0.5,500,6,5,1,0,0,0.4112651400268077,0.1382914718551407,0.6608977998898562
1.0,0.5,1000,6,5,1,0,0,0.4112651400268077,0.1382914718551407,0.6608977998898562
1.0,0.7,250,6,5,1,0,0,0.4112651400268077,0.1382914718551407,0.6608977998898562
1.0,0.7,500,6,5,1,0,0,0.4112651400268077,0.1382914718551407,0.6608977998898562
1.0,0.7,1000,6,5,1,0,0,0.4112651400268077,0.1382914718551407,0.6608977998898562
2.0,0.3,250,6,5,1,0,0,0.4112651400268077,0.1382914718551407,0.6608977998898562
2.0,0.3,500,6,5,1,0,0,0.4112651400268077,0.1382914718551407,0.6608977998898562
2.0,0.3,1000,6,5,1,0,0,0.4112651400268077,0.1382914718551407,0.6608977998898562
2.0,0.5,250,6,5,1,0,0,0.4112651400268077,0.1382914718551407,0.6608977998898562
2.0,0.5,500,6,5,1,0,0,0.4112651400268077,0.1382914718551407,0.6608977998898562
2.0,0.5,1000,6,5,1,0,0,0.4112651400268077,0.1382914718551407,0.6608977998898562
2.0,0.7,250,6,5,1,0,0,0.4112651400268077,0.1382914718551407,0.6608977998898562
2.0,0.7,500,6,5,1,0,0,0.4112651400268077,0.1382914718551407,0.6608977998898562
2.0,0.7,1000,6,5,1,0,0,0.4112651400268077,0.1382914718551407,0.6608977998898562
