window_km,effect_threshold_mm_yr,distance_tolerance_m,n_total_crossings,n_analyzed,n_raw_p_lt_0_05,n_fdr_sig,n_truly_sig,median_abs_effect_mm_yr,background_r2,residual_std_mm_yr
0.5,0.3,250,334,22,2,1,0,0.26839532846613773,0.07860774179788424,1.3908777747415928
0.5,0.3,500,334,22,2,1,0,0.26839532846613773,0.07860774179788424,1.3908777747415928
0.5,0.3,1000,334,22,2,1,0,0.26839532846613773,0.07860774179788424,1.3908777747415928
0.5,0.5,250,334,22,2,1,0,0.26839532846613773,0.07860774179788424,1.3908777747415928
0.5,0.5,500,334,22,2,1,0,0.26839532846613773,0.07860774179788424,1.3908777747415928
0.5,0.5,1000,334,22,2,1,0,0.26839532846613773,0.07860774179788424,1.3908777747415928
0.5,0.7,250,334,22,2,1,0,0.26839532846613773,0.07860774179788424,1.3908777747415928
0.5,0.7,500,334,22,2,1,0,0.26839532846613773,0.07860774179788424,1.3908777747415928
0.5,0.7,1000,334,22,2,1,0,0.26839532846613773,0.07860774179788424,1.3908777747415928
1.0,0.3,250,334,22,2,1,1,0.2381787572314995,0.07860774179788424,1.3908777747415928
1.0,0.3,500,334,22,2,1,1,0.2381787572314995,0.07860774179788424,1.3908777747415928
1.0,0.3,1000,334,22,2,1,1,0.2381787572314995,0.07860774179788424,1.3908777747415928
1.0,0.5,250,334,22,2,1,0,0.2381787572314995,0.07860774179788424,1.3908777747415928
1.0,0.5,500,334,22,2,1,0,0.2381787572314995,0.07860774179788424,1.3908777747415928
1.0,0.5,1000,334,22,2,1,0,0.2381787572314995,0.07860774179788424,1.3908777747415928
1.0,0.7,250,334,22,2,1,0,0.2381787572314995,0.07860774179788424,1.3908777747415928
1.0,0.7,500,334,22,2,1,0,0.2381787572314995,0.07860774179788424,1.3908777747415928
1.0,0.7,1000,334,22,2,1,0,0.2381787572314995,0.07860774179788424,1.3908777747415928
2.0,0.3,250,334,22,2,0,0,0.2119251357808164,0.07860774179788424,1.3908777747415928
2.0,0.3,500,334,22,2,0,0,0.2119251357808164,0.07860774179788424,1.3908777747415928
2.0,0.3,1000,334,22,2,0,0,0.2119251357808164,0.07860774179788424,1.3908777747415928
2.0,0.5,250,334,22,2,0,0,0.2119251357808164,0.07860774179788424,1.3908777747415928
2.0,0.5,500,334,22,2,0,0,0.2119251357808164,0.07860774179788424,1.3908777747415928
2.0,0.5,1000,334,22,2,0,0,0.2119251357808164,0.07860774179788424,1.3908777747415928
2.0,0.7,250,334,22,2,0,0,0.2119251357808164,0.07860774179788424,1.3908777747415928
2.0,0.7,500,334,22,2,0,0,0.2119251357808164,0.07860774179788424,1.3908777747415928
2.0,0.7,1000,334,22,2,0,0,0.2119251357808164,0.07860774179788424,1.3908777747415928
