river_id_filehint,fault_distance_km,fault_type,landcover_class,upstream_n,downstream_n,raw_effect_mm_yr,residual_effect_mm_yr,t_statistic,p_value_raw,window_km_used,lc_mode,lc_entropy,lc_point_meta,p_lc_urban,p_lc_agriculture,p_lc_forest,p_lc_shrubland,p_lc_grass_shrub,p_lc_wetland,p_lc_water,p_lc_ice_snow,p_lc_bare_sparse,p_lc_other,drainage_class,is_internal,n_faults_consolidated,residual_effect_median_mm_yr,p_value_mw,robust_significant,residual_effect_median_lowess_mm_yr,p_value_mw_lowess,robust_significant_lowess,effect_significant,p_value_fdr,p_value_bonf,significant_fdr,significant_bonf,statistically_significant,truly_significant
40417973,2.369999999999999,Reverse,11,43,43,0.3198041116851273,0.3609776180651126,-3.327863408361772,0.0013268104272835,1.2936846547631191,Urban,0.2123494139060555,Urban,0.9540229885057472,0.0,0.0,0.0,0.0,0.0,0.0,0.0114942528735632,0.0344827586206896,0.0,exorheic–inland,False,1,0.2618084807027938,0.0090974101116386,False,0.2586659124755276,0.0086484783347139,False,False,0.0291898294002388,0.0291898294002388,True,True,True,False
40417973,4.019999999999989,Left Lateral,11,41,40,-0.2059228297007815,-0.1665272701872044,0.8619349273427965,0.3927294821771836,1.2557334990233602,Urban,0.2202596775448024,Urban,0.9518072289156626,0.0,0.0,0.0,0.0,0.0,0.0120481927710843,0.0,0.036144578313253,0.0,exorheic–inland,False,4,0.1242188605470867,0.9660934524020232,False,0.0596688006694015,0.681135532771223,False,False,0.7047002126123045,1.0,False,False,False,False
40417973,5.129999999999998,Reverse,11,41,42,0.1987658944981482,0.2390378745466432,-0.9477377731141012,0.3460961857340454,1.2673351974343403,Urban,0.4373907759178226,Urban,0.8823529411764706,0.0,0.0,0.0,0.0,0.0,0.0117647058823529,0.0117647058823529,0.0941176470588235,0.0,exorheic–inland,False,1,0.11913921656392,0.1293874740642018,False,0.0128059770060476,0.3365928016430772,False,False,0.7047002126123045,1.0,False,False,False,False
40417973,6.833000000000011,Normal,8,36,36,-0.1650680395412361,-0.1313286384798589,0.5178846539968729,0.6066762613051493,1.101277193943584,Urban,0.9334331726768248,Water,0.684931506849315,0.0,0.0136986301369863,0.0,0.0,0.0,0.0547945205479452,0.0410958904109589,0.2054794520547945,0.0,exorheic–inland,False,30,-0.1318549904830314,0.0534233900132594,False,-0.2295965949977632,0.0161946576971223,False,False,0.7411764151781502,1.0,False,False,False,False
40417973,8.490000000000013,Normal,5,32,34,-0.2686723456803627,-0.2334505577192759,0.7028093546974679,0.4858918350052976,1.0803010017853003,Urban,0.9145125869721534,Bare/Sparse,0.6575342465753424,0.0,0.0136986301369863,0.0,0.0,0.0,0.0273972602739726,0.0410958904109589,0.2602739726027397,0.0,exorheic–inland,False,28,0.0114856724447484,0.6580208299215642,False,-0.064118601183584,0.8725821570470372,False,False,0.7047002126123045,1.0,False,False,False,False
40417973,10.973684210526276,Normal,11,31,32,-0.2171874529712143,-0.1877109654491797,1.0533209147155556,0.2974237117234375,0.9442900526534443,Urban,0.2217542804479464,Urban,0.9523809523809524,0.0,0.0317460317460317,0.0,0.0,0.0,0.0158730158730158,0.0,0.0,0.0,exorheic–inland,False,57,-0.1663850058947154,0.7156142685078315,False,-0.2020113451278382,0.5683054440583126,False,False,0.7047002126123045,1.0,False,False,False,False
40417973,11.843478260869508,Normal,11,30,30,-0.1221261675159137,-0.0933359051002121,0.4701896260750984,0.6401069040174934,0.9124569162452576,Urban,0.4379748074249563,Urban,0.8688524590163934,0.0,0.1147540983606557,0.0,0.0,0.0,0.0,0.0,0.0163934426229508,0.0,exorheic–inland,False,23,-0.1454946157331946,0.641423522520332,False,-0.1479741858084207,0.6308762921617199,False,False,0.7411764151781502,1.0,False,False,False,False
40417973,12.964615384615302,Normal,11,30,28,-0.1507870357661019,-0.1228812907764208,0.7614964453230755,0.449580373937596,0.9112527843616304,Urban,0.5879532528696292,Urban,0.8524590163934426,0.0,0.081967213114754,0.0,0.0,0.0,0.0163934426229508,0.0327868852459016,0.0163934426229508,0.0,exorheic–inland,False,13,-0.1774455663557532,0.3545224882245306,False,-0.1699115675468783,0.3545224882245306,False,False,0.7047002126123045,1.0,False,False,False,False
40417973,14.09504854368921,Normal,11,30,28,0.2591700614917847,0.2892637060088003,-1.4461257272046455,0.1539720501968636,0.9558226834867948,Urban,0.6415518483235773,Urban,0.84375,0.0,0.03125,0.0,0.0,0.0,0.03125,0.03125,0.0625,0.0,exorheic–inland,False,103,0.4033483089109583,0.1590630127324285,False,0.369013079063355,0.188554750288972,False,False,0.5645641840551668,1.0,False,False,False,False
40417973,16.194999999999858,Left Lateral,11,21,24,-0.0853064740963632,-0.0631378383560567,0.2596189137652065,0.796712811524534,0.7596883493446382,Urban,0.7889923199036948,Urban,0.7843137254901961,0.0,0.0196078431372549,0.0,0.0,0.0,0.0980392156862745,0.0392156862745098,0.0588235294117647,0.0,exorheic–inland,False,6,-0.3150399069754875,0.5315467245137804,False,-0.3563420354901373,0.4192903869887252,False,False,0.8763840926769875,1.0,False,False,False,False
40417973,17.909999999999922,Left Lateral,11,12,13,0.3398455835114686,0.357619053704345,-1.144959428817925,0.2674074417876123,0.5,Urban,0.7158959219405205,Urban,0.8181818181818182,0.0,0.0303030303030303,0.0,0.0,0.0,0.0606060606060606,0.0606060606060606,0.0303030303030303,0.0,exorheic–inland,False,33,0.6888551405753254,0.3991787516527862,False,0.6760541542215504,0.4302896916456853,False,False,0.7047002126123045,1.0,False,False,False,False
40417973,19.019999999999964,Unknown,11,16,19,-0.2035376735913909,-0.1845885030415104,0.7040778627876365,0.4867223113301073,0.5966525044126065,Urban,0.7294187888945675,Urban,0.7948717948717948,0.0,0.0769230769230769,0.0,0.0,0.0,0.0769230769230769,0.0512820512820512,0.0,0.0,exorheic–inland,False,1,-0.230764973014378,0.328647075793979,False,-0.2356944031552766,0.328647075793979,False,False,0.7047002126123045,1.0,False,False,False,False
40417973,20.517142857142883,Left Lateral,11,10,17,0.2069692410966928,0.2222496760847735,-0.5287492600284905,0.6044116089727698,0.5425397235641176,Urban,0.4113137785784551,Urban,0.8888888888888888,0.0,0.0277777777777777,0.0,0.0,0.0,0.0833333333333333,0.0,0.0,0.0,exorheic–inland,False,21,0.1026553350418046,0.7441499629564898,False,0.0982784687642249,0.7824305201097079,False,False,0.7411764151781502,1.0,False,False,False,False
40417973,25.710000000000218,Unknown,11,34,31,-0.3858999232929447,-0.3514578626041139,1.8639844772584264,0.0670898668350233,1.100633512864469,Urban,1.1488253565046955,Urban,0.6301369863013698,0.0,0.0684931506849315,0.0,0.0,0.0,0.0821917808219178,0.0684931506849315,0.1506849315068493,0.0,exorheic–inland,False,1,-0.4100365933025465,0.06126185742651,False,-0.3744356231747228,0.1165273270535336,False,False,0.391735321936034,1.0,False,False,False,False
40417973,28.080000000000307,Unknown,11,26,27,-0.4265767838009912,-0.399903581824057,1.8431360214782144,0.0712246039883698,0.9204349339655884,Urban,0.9493159014669932,Urban,0.7213114754098361,0.0,0.0327868852459016,0.0,0.0,0.0,0.1147540983606557,0.0491803278688524,0.081967213114754,0.0,exorheic–inland,False,1,-0.4864730255433813,0.0859920268196523,False,-0.5143535031008855,0.0737602438121307,False,False,0.391735321936034,1.0,False,False,False,False
40417973,30.870000000000413,Unknown,11,26,27,1.086420159447312,1.112621481689122,-1.5011729329240011,0.142227533849,0.8390113722497277,Urban,0.5721530875324472,Urban,0.8545454545454545,0.0,0.0,0.0,0.0,0.0,0.0545454545454545,0.0545454545454545,0.0363636363636363,0.0,exorheic–inland,False,1,0.0260733961659852,0.2585634225989616,False,0.0292310107831324,0.2511398827504169,False,True,0.5645641840551668,1.0,False,False,False,False
40417973,32.070000000000455,Unknown,11,29,25,-0.5449609917928946,-0.5134819746423774,0.8396550128064497,0.4064971295658692,0.9597808369016296,Urban,0.7641035720163836,Urban,0.746031746031746,0.0,0.0,0.0,0.0,0.0,0.1746031746031746,0.0634920634920634,0.0158730158730158,0.0,exorheic–inland,False,1,-0.1675724403688202,0.322753569455966,False,-0.1449011055738329,0.3670159561503443,False,True,0.7047002126123045,1.0,False,False,False,False
40417973,33.3300000000005,Unknown,11,27,28,-0.2997280857476488,-0.2694222857774827,1.122690422064162,0.2673426327577596,0.9971858754872058,Urban,0.5963047219619939,Urban,0.7164179104477612,0.0,0.0,0.0,0.0,0.0,0.2835820895522388,0.0,0.0,0.0,exorheic–inland,False,1,-0.3770296485377248,0.2159249389401403,False,-0.3214789446691543,0.3588517666648656,False,False,0.7047002126123045,1.0,False,False,False,False
40417973,37.89000000000067,Unknown,11,28,24,-0.7044298173416229,-0.6759447914180224,2.044620733461883,0.0461939260271629,0.9249713988578208,Urban,1.028716053450167,Urban,0.6721311475409836,0.0,0.0491803278688524,0.0,0.0,0.0,0.0327868852459016,0.081967213114754,0.1639344262295081,0.0,exorheic–inland,False,1,-1.1893089172239768,0.0099098653216835,True,-1.2097740229633838,0.008437918417548,True,True,0.391735321936034,1.0,False,False,True,False
40417973,40.41000000000077,Unknown,11,30,31,-0.3796830227308134,-0.3467613229447233,0.6589515451774227,0.5125092455362215,1.0152352708479264,Urban,0.8558339062367241,Urban,0.746268656716418,0.0,0.0149253731343283,0.0,0.0,0.0,0.0895522388059701,0.0298507462686567,0.1194029850746268,0.0,exorheic–inland,False,1,-0.1761903988699086,0.4068163961842105,False,-0.2633908214156119,0.1916970674417853,False,False,0.7047002126123045,1.0,False,False,False,False
40417973,41.37000000000081,Unknown,11,30,29,-0.0584210935851623,-0.0278324481321725,0.0389596162922672,0.9690799533209709,0.966472743663458,Urban,0.8910600063017355,Urban,0.7230769230769231,0.0,0.0153846153846153,0.0,0.0,0.0,0.0769230769230769,0.0307692307692307,0.1538461538461538,0.0,exorheic–inland,False,1,0.4827670937785158,0.1238191819620338,False,0.3450127027861036,0.2919945144217559,False,False,0.9951006934259676,1.0,False,False,False,False
40417973,42.18000000000084,Unknown,11,30,29,-0.0363147979623628,-0.004063293552647,0.0061691514067691,0.9951006934259676,0.990272878738328,Urban,0.9739547468477986,Urban,0.7014925373134329,0.0,0.0298507462686567,0.0,0.0,0.0,0.0597014925373134,0.0597014925373134,0.1492537313432835,0.0,exorheic–inland,False,1,-0.0601943518414506,0.4438673110565554,False,-0.222550944838506,0.1948557374835342,False,False,0.9951006934259676,1.0,False,False,False,False
