basin,n_points,median,mad,skew,kurtosis,shapiro_W,shapiro_p,AD_stat,rho_fault,p_fault,n_outliers,pct_outliers,best_k,delta_bic,AD15,AD10,AD5,AD2.5,AD1,cluster1_mean,cluster1_var,cluster2_mean,cluster2_var,cluster3_mean,cluster3_var,n,hi,R2,R2_robust,BP_p,MoranI_resid,coef_elevation,coef_dist_fault_km,coef_hi,coef_cl_2,coef_cl_3,VIF_elevation,VIF_dist_fault_km,VIF_hi,VIF_cl_2,VIF_cl_3
global,1589.0,0.912343204021454,0.6295730895680554,-0.1296975011008023,2.9871497089415184,0.6445836111767871,2.5976902204704138e-49,170.05204013188086,-0.0935878643120242,0.0001870523841225172,112.0,7.048458149779736,3.0,28.016821469124807,0.575,0.654,0.785,0.916,1.089,-0.8706337405405911,5.961407572260673,-0.5358912840011211,0.2787400141943402,0.22377648301339728,0.051507932273254675,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,1589.0,0.16416957704728974,0.214057506418582,0.214057506418582,1.627871366067235e-60,0.5020713984946121,-0.00029813795766007545,-771.8325098133736,-7.601204868147281,0.9195534184644466,2.8302512543364533,1.1807104856111472,1.201643835340482,35.99649983736997,1.9098520488992574,1.9867771844239905
