window_km,effect_threshold_mm_yr,distance_tolerance_m,n_total_crossings,n_analyzed,n_raw_p_lt_0_05,n_fdr_sig,n_truly_sig,median_abs_effect_mm_yr,background_r2,residual_std_mm_yr
0.5,0.3,250,20,14,2,1,1,0.3609609831464551,0.011605756778614166,1.0080686990546248
0.5,0.3,500,20,14,2,1,1,0.3609609831464551,0.011605756778614166,1.0080686990546248
0.5,0.3,1000,20,14,2,1,1,0.3609609831464551,0.011605756778614166,1.0080686990546248
0.5,0.5,250,20,14,2,1,1,0.3609609831464551,0.011605756778614166,1.0080686990546248
0.5,0.5,500,20,14,2,1,1,0.3609609831464551,0.011605756778614166,1.0080686990546248
0.5,0.5,1000,20,14,2,1,1,0.3609609831464551,0.011605756778614166,1.0080686990546248
0.5,0.7,250,20,14,2,1,1,0.3609609831464551,0.011605756778614166,1.0080686990546248
0.5,0.7,500,20,14,2,1,1,0.3609609831464551,0.011605756778614166,1.0080686990546248
0.5,0.7,1000,20,14,2,1,1,0.3609609831464551,0.011605756778614166,1.0080686990546248
1.0,0.3,250,20,14,2,1,1,0.3107068474821959,0.011605756778614166,1.0080686990546248
1.0,0.3,500,20,14,2,1,1,0.3107068474821959,0.011605756778614166,1.0080686990546248
1.0,0.3,1000,20,14,2,1,1,0.3107068474821959,0.011605756778614166,1.0080686990546248
1.0,0.5,250,20,14,2,1,1,0.3107068474821959,0.011605756778614166,1.0080686990546248
1.0,0.5,500,20,14,2,1,1,0.3107068474821959,0.011605756778614166,1.0080686990546248
1.0,0.5,1000,20,14,2,1,1,0.3107068474821959,0.011605756778614166,1.0080686990546248
1.0,0.7,250,20,14,2,1,1,0.3107068474821959,0.011605756778614166,1.0080686990546248
1.0,0.7,500,20,14,2,1,1,0.3107068474821959,0.011605756778614166,1.0080686990546248
1.0,0.7,1000,20,14,2,1,1,0.3107068474821959,0.011605756778614166,1.0080686990546248
2.0,0.3,250,20,14,2,1,1,0.25765430347434504,0.011605756778614166,1.0080686990546248
2.0,0.3,500,20,14,2,1,1,0.25765430347434504,0.011605756778614166,1.0080686990546248
2.0,0.3,1000,20,14,2,1,1,0.25765430347434504,0.011605756778614166,1.0080686990546248
2.0,0.5,250,20,14,2,1,1,0.25765430347434504,0.011605756778614166,1.0080686990546248
2.0,0.5,500,20,14,2,1,1,0.25765430347434504,0.011605756778614166,1.0080686990546248
2.0,0.5,1000,20,14,2,1,1,0.25765430347434504,0.011605756778614166,1.0080686990546248
2.0,0.7,250,20,14,2,1,1,0.25765430347434504,0.011605756778614166,1.0080686990546248
2.0,0.7,500,20,14,2,1,1,0.25765430347434504,0.011605756778614166,1.0080686990546248
2.0,0.7,1000,20,14,2,1,1,0.25765430347434504,0.011605756778614166,1.0080686990546248
