basin,n_points,median,mad,skew,kurtosis,shapiro_W,shapiro_p,AD_stat,rho_fault,p_fault,n_outliers,pct_outliers,best_k,delta_bic,AD15,AD10,AD5,AD2.5,AD1,cluster1_mean,cluster1_var,cluster2_mean,cluster2_var,n,hi,R2,R2_robust,BP_p,MoranI_resid,coef_elevation,coef_dist_fault_km,coef_hi,coef_cl_2,VIF_elevation,VIF_dist_fault_km,VIF_hi,VIF_cl_2
global,1208.0,0.1210538521409035,0.8393488155714457,-0.11087051043256137,2.08048799975737,0.9537370433047758,4.479064904316293e-19,7.717331530147476,-0.07444004008280736,0.00964865108138739,4.0,0.33112582781456956,2.0,9.72149692870471,0.574,0.654,0.784,0.915,1.088,-0.3662732738328281,1.859792633449009,0.1871287575581977,0.4571766256378743,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,1208.0,0.4553105661440461,0.21425783974198487,0.21425783974198487,2.3485112365131575e-34,0.2994130091943707,0.00021077181960462435,-742.9586104574641,-3.770891665956969,1.270166207805564,1.0217596912750733,1.0181092264349225,189.41630337579795,1.0043583227342272
